"HolderAddress","Balance","PendingBalanceUpdate"
"0x56db30d4b652a16b0d063b07d8401727e34e642c","13,715,117.81","No"
"0x6f5f38645cc5b458ca2b9cb29f2680b323e14572","13,399,464","No"
"0xc0d62651c80e6b7781bb818f58474fa08fd537b3","13,266,136","No"
"0x749522e220de8957a4be43a1a05e10cb870d0091","13,266,136","No"
"0x4377634be238c9618ab5647f1dd8d2b14b687f1a","13,032,812","No"
"0xfc2472726dcf1e20423bedee7092c8698c94847b","13,032,812","No"
"0xf2a2054820857eaa833069a74818325bc5bb72a2","12,529,172","No"
"0xaf0fdb8ad4f8f700988d60eb9e6aafbddbde06e2","11,935,547.3","No"
"0xa993288d187cc43d93196075e4f9976cf9294ebf","11,059,989.22","No"
"0x0cd19770df82f284bcac9c98f79f34f7301da2c2","11,008,930.35","No"
"0x06f27ed8f970fd537cc00f643a0efe58b5c4b792","11,005,764.21","No"
"0x3fde99f947750a1a17745c7702da78cf6f78e28f","10,948,193.03","No"
"0xf742db47ac2ef075cd2bfadc42639a531e0ce374","10,925,755.55","No"
"0xa090c7f08c383b75b960c686d30681398605c747","10,799,568","No"
"0x45698c0f3c9e99b204ae864dd4bb06d4ea4ef4cd","10,705,068.59","No"
"0x0277a6851f0acbff9684ca29c36763fcd32b159f","10,368,740","No"
"0x10f0c38b0d2a06d8ae357f50e089c55c661f6dab","10,366,599.57","No"
"0xf3f55d4e64348164ca19ab039e732817e4c270f2","10,272,526.76","No"
"0xc5b2dbfb53b6c4076e63d7b50c1415f14c2ed36b","10,101,157.647","No"
"0x67cbefb77a50909d7051b3b351fbd459a7a30f88","9,931,826.13","No"
"0xec68da13bd2e7bffc96d539b2f9acc8b082684e3","9,842,544.62","No"
"0xeb50dab381496b69e63fd9ad7ba1ed7976d49c7a","9,764,802.73","No"
"0xc8333b38f0a1a3790815c02c1363f5bda587235d","9,578,434.14","No"
"0xe641db254cea8633b9ea098019f61d3b51946057","9,132,968","No"
"0xd894f9c12eca06973080566d1710b836c8564c6c","9,132,968","No"
"0x1ae9ff0a2b3b504ae9f95b339fc40288d2fe87f3","9,128,492","No"
"0x53dbab123c3dbb43ef5244574869058a73c4d3c7","9,110,823.13","No"
"0xd57e72a369cd0c84c24394729f1c4bf8e7097096","8,999,640","No"
"0xd0b18c187f1430c37d26bcb73bea14ecf4a1d26d","8,739,916.47","No"
"0xf523a5020123df4bd9ac1c73da86acb4ebf100ce","8,661,250.618","No"
"0x2db8204f9327c8bab10d315ded87fedf80a44c75","8,632,988","No"
"0xffe15e10fc7fbd8c9026c51d4596f2eb4c18dc17","8,466,328","No"
"0xf22c42d6bdda36cfd90888d04f09fd841897196c","8,448,754.654","No"
"0x82acf44c28993b07d78fbbf97c522e8e5d748008","7,965,196.487","No"
"0x5a57d4926918db61c377e28afb79223756a85b56","7,946,299.44","No"
"0x14d108da16d7106626bfdacf06628d5affc08161","7,821,763.04","No"
"0xc1c2c02a3b859ff257adaa7840a62ced4a336d6a","7,814,896","No"
"0x26c94e5856917ee4fcae1c759e83457c18881e0a","7,763,448.151","No"
"0x8bb7eaf7e5a330675a213bd3fbb94d65e139ea08","7,586,536","No"
"0x5e7d4a62dee19d1dd42c4189934db868be9ec427","7,268,443.809","No"
"0xd2293435a410f76d1aaa590e9f2cc23d4e699c1d","7,233,044","No"
"0x483a5a639d7b695be1375b664111050291a7b7d5","7,199,712","No"
"0x30c29e7ae16cc739c2cee1e1141a7f2cf88f6c51","7,199,712","No"
"0x2513f2f7ecbf6fc9daac2b241db59de137970153","7,033,052","No"
"0x2a94c8e94aca05c93367009695e0d0c767330122","7,021,404","No"
"0xc1a2e5b1bd04cce81d6baa6bdf284b98491a0b63","6,948,056","No"
"0x408573fec48a6610cc95bab5da2a9dcd1d0e47ba","6,918,065.743","No"
"0x3d96ff07fa9be8abd893174ea56db37647db673f","6,899,724","No"
"0x125855cd2817cbd0f976d5ffc2500c833ee3cff0","6,814,696","No"
"0x82118931bd9e70f6c2f152576b6da7676bc6812e","6,499,740","No"
"0x67f90d5643811fbe545c10bf22beea8e8953382b","6,334,371.12","No"
"0xc392606c8660c7f56e26c626ee6bdb9c051bd5fc","6,266,416","No"
"0xb0b9fd11042e7ddcbc115790d90c9dfdc0b97fe5","6,266,416","No"
"0xf0e350c7e2626a6008b8c7b43b72cd571aa56136","6,249,036.233","No"
"0xacd80bbc3d00976f83e56935ba122f76387dcb2d","6,181,226.66","No"
"0x11883fd237750611537230e193e3f7a5c1963c08","6,114,556","No"
"0x2bd9f46a81165f020e94e612af742b607b499c31","6,099,756","No"
"0x5a4c6e254b6fb271a98b907e5f7b80bdc036b65b","5,996,894.14","No"
"0x1994ab43c03968c9fe0d07ddb7f5a0d5aac8f8ff","5,754,484","No"
"0x2df11dba1bd430b10e6e6aa695f3fffb2d4b3efa","5,693,715.85","No"
"0xb5fee3acecbea0001e848be6cac67204d781699b","5,614,456","No"
"0x7937c11d760d23466b34607e1815cc635a57c1dd","5,614,456","No"
"0x3b3686f190c47c3f17f4250d9dda97e0ef25776f","5,614,456","No"
"0xc601df36044c82571fbfde25f9b7fcd18b4f8646","5,432,639.401","No"
"0xd6a764228fce403224f16a845b4628a00dc87236","5,399,784","No"
"0x03ba3e1aaa6c025872acf582053b7443d94f6627","5,399,784","No"
"0xcf58d31391c0b040ebc66783185950f942d98579","5,268,505.818","No"
"0x2dd3be73a7e753d750e4f09b6acfaecccab829c9","5,266,456","No"
"0x18d65402826641fd1a027f102167ac82b0f8c333","5,207,708","No"
"0xc780b2511eea11b5fa01fc5c655e36e5a942ffea","5,195,202.17","No"
"0xc0591f0da22ddff36a24daa1c96d5a95cbb5e5b4","5,166,460","No"
"0x712219abd764c0bfc86640be6efcb5c95c754944","5,007,668","No"
"0xa762d01ca720b13b8d1111b3068736ec68674aec","4,949,189.952","No"
"0xdb792e09e46ba314270c46984a3f99b2f9e3f6b8","4,807,628","No"
"0x7c12c6fe45dc7041987c533c619a4bd68fce9e2e","4,733,144","No"
"0x5c446dc7b3a1fca71aaacbf65898ab3488a90f00","4,666,480","No"
"0xf0cc50a665cdc299d8f7b38a4506b530513b7762","4,480,896","No"
"0xe6f05e9d56f1a6fec1d8228144b92e2ee50ebd8f","4,260,852","No"
"0x8575d44030c4dab6abb725b9c21b94a256519887","4,214,176","No"
"0x1e15743679408e83ec3cf55ff3e47564fb38d004","4,214,176","No"
"0xb274ef0cb909d339eb819882fd554c939387ae34","4,214,176","No"
"0x0202fe4061d52de6545df0afb8d93d23b9108544","4,189,822.742","No"
"0x1f0d71a757bde19b567d47e99dbc7bbea1dd3439","4,163,971.358","No"
"0x2097fb116561551924117095288f9c1d8164cf32","4,142,771.163","No"
"0x918d60fc6c9233d31de4208fdb431bd8fc8bd0b3","4,099,836","No"
"0xac1c8fb1310f3f34876b28373a903cd45551bcaf","4,040,808","No"
"0x3079bfa3989d0e6bf1ac23b8a83bf40deca7a0b6","4,033,172","No"
"0x505a35f48fc2d86793f9d35d1aac0c63caad5ade","3,899,744.19","No"
"0xa072e9e978359f023eb8526970e86dd0d2ce9c3f","3,780,756","No"
"0x1b1451869ac6e90956f4da06a582895ef5551cc1","3,654,064","No"
"0xbe1ccca3a75f633e390068abd7ce6263bf2f4075","3,654,064","No"
"0x3f21cf6d21b8f58300dd5ab02fd125b5cc1e7f27","3,599,856","No"
"0x9b3ec96c2d28b8b6bb44ca37fde72b065edfc29b","3,599,856","No"
"0xc4aa7f883043fa83e1afa208974704a85221fd67","3,599,856","No"
"0x4a5821392891a7505ce41beaba908eb2857fcf57","3,599,856","No"
"0x31e04e49d658b1b9e69e10a561b375c812a64ded","3,599,856","No"
"0x87cde09b661f8afb693ab467d3c8101bc398e6f6","3,599,856","No"
"0x063697f2b3be84bab12490f992e9eba9a1484ea7","3,599,856","No"
"0x3b388464fda245611fdb308f7e23ee9eed1f8a2b","3,599,856","No"
"0xd86567a1ecc2660ac2bfc951d75c7973f9d68bcd","3,573,610.092","No"
"0xb6c836eab83c34c4890005c71bbcba22c95073fc","3,499,860","No"
"0x1d6cee92366332b3de6fd672fcc5bc4a832cf38e","3,499,860","No"
"0x8a7be603f5dcd7f80198ff666b733940070bbd75","3,499,860","No"
"0xf5c6a723443c3e4d56de925369a29da926d37924","3,499,860","No"
"0xc1876a769685bc4c707729b6e4c520d0303a7855","3,387,344","No"
"0x2ff5dc6f69f3a940f71b1f53c45d4b4d82146e6a","3,366,532","No"
"0xf67e929a9f172a4c449f3b33b99718f82805bdac","3,336,209.127","No"
"0x8df370432e6a9f0a8c1115713f2ec17a91b06163","3,266,536","No"
"0x2a0bfd3f2c9c9e866059274cf5f6b9fe6b4df5dc","3,249,749.99","No"
"0x564c6396162c0bdb3a7226df0d6e47a6c43e9a50","3,184,069.706","No"
"0x30d5e20a59374f7cdc49ef7ed3ad110f3408a22b","3,133,208","No"
"0x0190b161d67d2414eeb756e89036fecd08c17ff7","3,133,208","No"
"0xa507675b4fd99fc5db42a6a5c1d4beb78526a0db","3,093,952","No"
"0xb682ba041369a0328d566d0bfa6658a08e0f9771","3,068,329.419","No"
"0x4db30e2190c1605ac184ae47986678cf223b1958","3,034,171.426","No"
"0x6616bb18b4f03a3ca206ce572fca11dd133a9420","2,922,670.25","No"
"0xd52281c2f7db27fe184360ea1e20ba8aa554525c","2,873,908","No"
"0xc7ba294930da3d026a3f5a17f54199ae5c0f34ac","2,873,908","No"
"0xc14e72e411549316b9a3a082d0f1ee322034d45c","2,866,552","No"
"0x10ba87a569d61afc8791fbcdc3743d4b327201b2","2,680,536","No"
"0x3338b79a5db6070f58d4ca00bde0c29f0aa12df3","2,653,864","No"
"0xecc31c3d9eb23f0ec11c24f8a38c75b6e2ae00bc","2,653,864","No"
"0xdffe8d2e36644baf12f9d6f981bf577b8084127f","2,639,480.861","No"
"0x1f3aab66657d649d797f4b4d4cdc6256e42d4408","2,607,188","No"
"0xe05153a37433ec3ae90af8bf1c6209181f91c6c3","2,607,188","No"
"0xe86df53c2d0deaf582faee2591d7b397fa943a06","2,547,930.31","No"
"0x0d83aea99847a3b2db9e874096368637315685a3","2,521,622.62","No"
"0x36e0457f72ad175d34612dae7b7bea2b45df7fe7","2,514,811.034","No"
"0x76fbdaa21cbbb8c7b9ce82dd7015c76dab2cbee1","2,462,789.673","No"
"0xeef3521c78b55915e287f33bd1704ecda95e6bcd","2,425,143.14","No"
"0x5ab52e805498eb6cc44e12646acfc706a2eaf026","2,412,097.258","No"
"0xcba1165655db53a4008c761bfe5fb8b61211edb2","2,404,037.56","No"
"0xf37346884d56b1e88e86169b9e4ca8130bbd165a","2,360,785.642","No"
"0xb4474c76368caff496e1183019bbf2b24fd8fc95","2,296,573.098","No"
"0x1145ca95f1dcdfcf3ddca3e0e0ac6d44f38a8dab","2,261,684.258","No"
"0x437183d26540f16b7c091a20b20378d76a9e6872","2,170,720.742","No"
"0x509c816e91b076f74e56b282dce9aea6f44a64ee","2,160,432","No"
"0xc759982124cceec7992e82e7e0f737ef5df12f3a","2,017,723.408","No"
"0x37ce10c0ba9d453502dce20ee3fdc3bd372cae00","1,999,920","No"
"0x731bef68793ef0a3078885c88a16a128054a2530","1,970,844.281","No"
"0x4b6db3143ae4f07dc950fb7d99c732613d960b64","1,968,948.72","No"
"0x227defa26fd51f09baf07708eae4b8e7886fb752","1,953,429.27","No"
"0x13b15dac8749cc96bb68fee66f0b2c5795f4b85e","1,938,799.554","No"
"0x6214b8ce304e7a0013553b4f7d5b917158e05f5d","1,931,580.978","No"
"0xd67e458784fe5efe8392c73f8f8d4abe39c4a8e7","1,895,801.433","No"
"0xa4ceedc5c2e717c99b8985471aa6198474ca9623","1,880,019.077","No"
"0x7410631bd354a31f24ad1616f8d7115a61285164","1,835,745.244","No"
"0xf60e52fe40644e008948d839a3ee3d8183df26aa","1,831,512.695","No"
"0x9525a91cff916149eada694a66c9349a22fd3abb","1,827,032","No"
"0x851f33618cc8c9cc6e98c4791ca48d84c9cb03c6","1,827,032","No"
"0x05a7db73a05f5b399992e87171e827c21feb8629","1,821,281.131","No"
"0xe1a2ea7814cb710d49fe535d78b8441c5af4b581","1,800,360","No"
"0xcdd02720641b5813ac9fa2d6910e4d8452d69212","1,784,572.536","No"
"0xd51d84627660eadfcf221b8b09b645c7c5c803d2","1,779,547.238","No"
"0x75adeca24c5a45f8fee9bfa2c51458c3c0d863d7","1,742,436.725","No"
"0x3c26177ce5db9d33e09dcb3448e7cd9c18ce63af","1,727,012","No"
"0x8880acb90e41c0104c9ff89e234fc93c056ffd87","1,693,672","No"
"0x94510e1d2a6b75d16509242d39498ada54d72370","1,657,966.303","No"
"0x32a9502a1580b0fd6bf38a1227249bc652d8d3b8","1,637,237.743","No"
"0x5d7135511b26c20784742e75d63fe35ab1340dbe","1,630,055.936","No"
"0xcd16d4467cb5d630fabd1173aee47d72c757abc4","1,627,621.636","No"
"0xd2e721d5678c93506ce1177a7f59ba0dc1530266","1,588,286.803","No"
"0xd3350edec7f38d867fd64d2890f5c98f6c580e72","1,567,131.226","No"
"0x8bb204c6995b60a647f4a9e3695ac6ea4a8d82c9","1,539,114.931","No"
"0x2178a20d86842a21eddcd8dae20326fe3aef5209","1,533,528.863","No"
"0xb538a5f7128087bd9f7c64f27c1f7d256609a310","1,530,736.714","No"
"0xfbf7a56ab921cfec997a689a2bd653cb98f1089d","1,514,757.782","No"
"0x7aeb05ba1c477dd13a488a624d098444b815fe65","1,513,219.993","No"
"0x2c0505cb43f49d24dc10ca401efa909432b3c136","1,490,595.575","No"
"0x154b49652f05c7889189ee5a561b3fd52505718d","1,470,757.644","No"
"0x8d423d3376ca6fa0244f0ff3f29cb4cbff1397d1","1,462,243.286","No"
"0x67743c41212f582eea9fcb91be6f6550f9389759","1,461,615.931","No"
"0xa3aa57847c2c863808c33fb0e928a6149b7051bc","1,446,956","No"
"0x381591feb8825c5a1906699466dd9ee2abda341b","1,446,956","No"
"0x853c7e43dc410eb21db8cfbed74ebe040723f20b","1,446,797.325","No"
"0x16156568dddd95ffe137d4517c22fe0c46e5d9ae","1,440,288","No"
"0xe793303186fe9dc8c5263af3c09f3088249a043c","1,440,288","No"
"0xcfdae6d8af40fcbb4d4cdfb957fb89e07dc358a4","1,433,276","No"
"0x30ac5efed4a9e6ff2087e2e0858e97a7bff930c2","1,433,276","No"
"0xdcb57ad8b9dc2f97a8e74b6fae632856b3bb3adb","1,433,276","No"
